Source sentence,Answer sentence
"Berikut adalah tujuh kota di Indonesia yang dianggap paling nyaman untuk ditinggali :",Indonesia adalah entitas lokasi
"Soal calon presiden itu urusan nanti , yang penting menang dulu lah , kata Anis di Samarinda , Kalimantan Timur , Selasa (29/10/2013) .",Anis adalah entitas orang
"Soal calon presiden itu urusan nanti , yang penting menang dulu lah , kata Anis di Samarinda , Kalimantan Timur , Selasa (29/10/2013) .",Samarinda adalah entitas lokasi
"Soal calon presiden itu urusan nanti , yang penting menang dulu lah , kata Anis di Samarinda , Kalimantan Timur , Selasa (29/10/2013) .",Kalimantan Timur adalah entitas lokasi
"Kalau itu tanya PPP saja , ujar Nasir sambil memasuki ruang rapat konsultasi pimpinan fraksi dan kelompok DPD .",PPP adalah entitas organisasi
"Kalau itu tanya PPP saja , ujar Nasir sambil memasuki ruang rapat konsultasi pimpinan fraksi dan kelompok DPD .",Nasir adalah entitas orang
"Jokowi bisa mengatakan mencabut pengaduan dan memaafkan pelakunya , katanya .",Jokowi adalah entitas orang
"Akbar menyebutkan pemerintahan Jokowi-JK juga mencanangkan Nawa Cita atau sembilan agenda perubahan untuk meningkatkan produktivitas dan daya saing rakyat pada tingkat pasa nasional maupun internasional .",Akbar adalah entitas orang
"Ketiga kinerja bank sebagai lembaga intermediasi yakni Loan to Deposit Ratio LDR Bank Mandiri selain merebut skor tertinggi bank umum nasional , juga memenangkan kategoti bank BUMN dan bank terbuka 3 kategori .",Bank Mandiri adalah entitas organisasi
"Ketiga kinerja bank sebagai lembaga intermediasi yakni Loan to Deposit Ratio LDR Bank Mandiri selain merebut skor tertinggi bank umum nasional , juga memenangkan kategoti bank BUMN dan bank terbuka 3 kategori .",BUMN adalah entitas organisasi
"Presiden Soesilo Bambang Yudhoyono menyatakan kekecewaannya atas sikap sejumlah partai koalisinya yang tidak mentaati kesepakatan yang pernah ditekennya .",Soesilo Bambang Yudhoyono adalah entitas orang
"Serangan yang menewaskan Ghul dilancarkan pada Minggu (24/8) waktu setempat .",Ghul adalah entitas orang
"Siapapun bisa membantu dengan menyortir gambar ke dalam kategori kota , bintang , atau benda lainnya , kata Alejandro Sanchez , mahasiswa doktoral di Complutense .",Alejandro Sanchez adalah entitas orang
"Siapapun bisa membantu dengan menyortir gambar ke dalam kategori kota , bintang , atau benda lainnya , kata Alejandro Sanchez , mahasiswa doktoral di Complutense .",Complutense adalah entitas lokasi
"Kalau premium sore akan habis besok akan ada lagi kok , silakan beli besok , seru Hanung .",Hanung adalah entitas orang
"Partai Demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan Prabowo - Hatta , kata Rachlan Nasidik usai diskusi Spirit Demokrat di Jakarta , Jumat .",Partai Demokrat adalah entitas organisasi
"Partai Demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan Prabowo - Hatta , kata Rachlan Nasidik usai diskusi Spirit Demokrat di Jakarta , Jumat .",koalisi merah putih adalah entitas organisasi
"Partai Demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan Prabowo - Hatta , kata Rachlan Nasidik usai diskusi Spirit Demokrat di Jakarta , Jumat .",Prabowo adalah entitas orang
"Partai Demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan Prabowo - Hatta , kata Rachlan Nasidik usai diskusi Spirit Demokrat di Jakarta , Jumat .",Hatta adalah entitas orang
"Partai Demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan Prabowo - Hatta , kata Rachlan Nasidik usai diskusi Spirit Demokrat di Jakarta , Jumat .",Rachlan Nasidik adalah entitas orang
"Partai Demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan Prabowo - Hatta , kata Rachlan Nasidik usai diskusi Spirit Demokrat di Jakarta , Jumat .",Jakarta adalah entitas lokasi
"Menurut anggota Komisi I itu , Ketua Umum PDI Perjuangan Megawati Soekarnoputri sebelumnya telah memerintahkan kepada semua kader agar mendukung kebijakan Jokowi .",PDI Perjuangan adalah entitas organisasi
"Menurut anggota Komisi I itu , Ketua Umum PDI Perjuangan Megawati Soekarnoputri sebelumnya telah memerintahkan kepada semua kader agar mendukung kebijakan Jokowi .",Megawati Soekarnoputri adalah entitas orang
